Release date ;Title ;Composer ;Producer ;Writer ;Director ;Role;Notes
02-Feb-14;Making a Living ;;;;;Slicker ;
07-Feb-14;Kid Auto Races at Venice ;;;;;Tramp ;Released on a split-reel (i.e. two films on one reel) with an education film, Olives and Trees
09-Feb-14;Mabel's Strange Predicament ;;;;;Tramp ;Filmed before but released after Kid Auto Races at Venice, hence it was in this film that the Tramp costume was first used.[11]
19-Feb-14;A Thief Catcher ;;;;;A Policeman ;Print discovered in 2010[10]
28-Feb-14;Between Showers ;;;;;Masher ;
02-Mar-14;A Film Johnnie ;;;;;The Film Johnnie ;
09-Mar-14;Tango Tangles ;;;;;Tipsy Dancer ;
16-Mar-14;His Favourite Pastime ;;;;;Drinker ;
26-Mar-14;Cruel, Cruel Love ;;;;;Lord Helpus ;
04-Apr-14;The Star Boarder ;;;;;The Star boarder ;
18-Apr-14;Mabel at the Wheel ;;;;;Villain ;Two reels
20-Apr-14;Twenty Minutes of Love ;;;Yes ;Yes ;Pickpocket ;
27-Apr-14;Caught in a Cabaret ;;;;;Waiter ;Two reels
04-May-14;Caught in the Rain ;;;Yes ;Yes ;Tipsy Hotel Guest ;
07-May-14;A Busy Day ;;;Yes ;Yes ;Wife ;Released on a split-reel with an educational short, The Morning Papers
01-Jun-14;The Fatal Mallet ;;;;;Suitor ;
04-Jun-14;Her Friend the Bandit ;;;Yes ;Yes ;Bandit ;A lost film.[12] The only known Chaplin lost film.
11-Jun-14;The Knockout ;;;;;Referee ;Two reels
13-Jun-14;Mabel's Busy Day ;;;;;Tipsy Nuisance ;
20-Jun-14;Mabel's Married Life ;;;Yes ;Yes ;Mabel's Husband ;Co-writer: Mabel Normand
09-Jul-14;Laughing Gas ;;;Yes ;Yes ;Dentist's Assistant ;
01-Aug-14;The Property Man ;;;Yes ;Yes ;The Property Man ;Two reels
10-Aug-14;The Face on the Bar Room Floor ;;;Yes ;Yes ;Artist ;Based on the poem by Hugh Antoine d'Arcy
13-Aug-14;Recreation ;;;Yes ;Yes ;Tramp ;Released as a split-reel with a travel short, The Yosemite
27-Aug-14;The Masquerader ;;;Yes ;Yes ;Film Actor ;
31-Aug-14;His New Profession ;;;Yes ;Yes ;Charlie ;
07-Sep-14;The Rounders ;;;Yes ;Yes ;Reveller ;
14-Sep-14;The New Janitor ;;;Yes ;Yes ;Janitor ;
10-Oct-14;Those Love Pangs ;;;Yes ;Yes ;Masher ;
26-Oct-14;Dough and Dynamite ;;;Yes ;Yes ;Waiter ;Two reels
29-Oct-14;Gentlemen of Nerve ;;;Yes ;Yes ;Impecunious Track Enthusiast ;
07-Nov-14;His Musical Career ;;;Yes ;Yes ;Piano Mover ;
09-Nov-14;His Trysting Place ;;;Yes ;Yes ;Husband ;Two reels
14-Nov-14;Tillie's Punctured Romance ;;;;;Charlie, a City Slicker ;Six reels
05-Dec-14;Getting Acquainted ;;;Yes ;Yes ;Spouse ;
07-Dec-14;His Prehistoric Past ;;;Yes ;Yes ;Weakchin ;Two reels
01-Feb-15;His New Job ;;;Yes ;Yes ;Film Extra ;
15-Feb-15;A Night Out ;;;Yes ;Yes ;Reveller ;debut of Edna Purviance
11-Mar-15;The Champion ;;;Yes ;Yes ;Aspiring Pugilist ;
18-Mar-15;In the Park ;;;Yes ;Yes ;Charlie ;One reel
01-Apr-15;A Jitney Elopement ;;;Yes ;Yes ;Suitor, the Fake Count ;
