c_total,Cd,Pb,Mod1,Mod2,Mod3
35,0,35,11833,372,123683
35,7,28,13823,153,124594
500,100,400,228329,3068,11172
100,20,80,59842,6878,82562
50,50,0,223508,23349,135933
20,4,16,11356,140,19534
1000,800,200,163758,3797,37242
14,8.4,5.6,18774,118,120807
20,20,0,19194,275,159165
20,8,12,16265,185,127914
5000,0,5000,18075,4491,6193
2000,1200,800,88741,1500,6877
1000,600,400,172020,1974,9477
14,8.4,5.6,26959,143,157330
1000,400,600,174135,3068,14538
200,160,40,299994,34442,164703
20,0,20,9769,134,135117
500,200,300,220705,5359,29161
500,0,500,54414,1307,5650
70,56,14,265474,33932,171263
500,0,500,50307,165,6858
14,14,0,34946,277,77537
5000,5000,0,22633,4527,127464
200,160,40,304601,33825,158653
70,28,42,97565,4088,133913
100,0,100,38039,1221,62526
70,42,28,159590,14495,145514
35,21,14,29045,453,159813
50,50,0,216243,23502,125745
100,0,100,20057,500,51313
14,0,14,10566,108,136416
70,56,14,259255,37516,185161
500,400,100,212326,11206,51298
50,10,40,29677,9139,87101
2000,800,1200,128478,2255,7269
70,28,42,87361,2550,114837
200,200,0,297504,35586,198080
14,5.6,8.4,12605,130,125010
35,28,7,65721,426,132334
50,40,10,175474,7024,139189
20,12,8,8805,146,156677
200,80,120,276805,19200,85736
200,200,0,304263,34638,179110
14,2.8,11.2,10400,134,96528
14,11.2,2.8,16957,138,153859
100,100,0,288842,38661,106175
1000,800,200,160990,3973,37177
5000,4000,1000,22396,563,7454
500,200,300,236944,5198,25659
100,60,40,253888,34095,133909
20,0,20,10692,151,136432
500,200,300,240938,4567,24312
100,80,20,281426,37688,140102
35,35,0,105732,971,132590
14,0,14,8495,120,131672
1000,0,1000,122833,2098,7382
200,0,200,32365,7653,52215
14,5.6,8.4,9879,130,87882
2000,0,2000,43107,3461,5382
70,70,0,290858,40473,164313
35,14,21,24566,269,161573
70,0,70,17609,222,110740
2000,1600,400,75190,2638,18963
100,40,60,183168,16289,82026
70,0,70,15992,215,69177
14,5.6,8.4,10412,101,95515
70,70,0,295705,39551,171880
14,11.2,2.8,16340,129,112713
35,35,0,101419,2303,169433
100,60,40,258626,34060,121985
50,10,40,29201,2704,128296
1000,200,800,182870,2708,7797
5000,3000,2000,22528,910,2174
0,0,0,10812,120,98594
2000,2000,0,65300,6456,110420
5000,4000,1000,22262,1446,5923
100,80,20,286019,41552,150591
5000,2000,3000,32547,2490,4065
5000,0,5000,19213,5845,5347
500,0,500,52575,1370,6282
2000,1200,800,84277,1421,6016
50,30,20,55911,4488,159344
1000,0,1000,51807,2451,7074
500,300,200,213482,4246,23842
5000,1000,4000,28833,5577,5399
14,0,14,9742,127,154323
5000,5000,0,22655,4467,144188
50,20,30,37275,2940,107854
100,20,80,57774,5416,93798
5000,2000,3000,33129,2523,4398
200,40,160,163432,16606,59335
2000,2000,0,65458,6253,113682
50,0,50,16480,315,91919
20,0,20,11632,138,127901
20,8,12,12939,133,108785
20,16,4,10476,146,154556
200,200,0,302755,36080,197300
200,120,80,272678,25384,85761
20,16,4,12435,150,141427
500,100,400,221911,3355,11517
200,80,120,274937,19463,81492
2000,0,2000,45490,3568,5047
200,40,160,161962,15145,62580
200,80,120,280833,19340,82573
2000,400,1600,140470,3257,5241
1000,1000,0,146338,13357,127050
14,2.8,11.2,8298,113,99239
70,14,56,44422,1349,142757
1000,200,800,177856,2619,7551
5000,1000,4000,30024,4490,5580
35,28,7,66158,535,163907
70,42,28,173386,19781,133982
1000,400,600,170808,3227,14649
0,0,0,9945,119,72335
500,400,100,214111,9454,34629
100,60,40,254075,35391,135971
35,14,21,22577,171,171769
5000,1000,4000,28833,5698,5754
200,40,160,171637,15250,68377
50,50,0,223761,24903,146178
14,8.4,5.6,19491,133,186314
200,0,200,35378,7998,51276
2000,0,2000,45323,2759,5101
1000,800,200,160990,4444,35862
50,40,10,154564,5905,111202
50,20,30,26289,4941,149906
100,80,20,285605,42466,153078
50,20,30,35781,3700,146070
500,100,400,223769,2731,12492
500,300,200,219984,4117,25277
1000,0,1000,50727,2051,7016
2000,400,1600,140470,3301,4661
5000,2000,3000,32024,2498,4227
200,120,80,289485,22529,94715
100,40,60,174644,16448,86867
70,14,56,41822,2300,88373
100,20,80,61961,6818,78435
20,4,16,9951,134,150528
200,120,80,275771,25928,87516
14,2.8,11.2,8563,130,113979
14,11.2,2.8,23158,123,145455
0,0,0,10786,117,82977
500,500,0,208795,16743,157574
2000,800,1200,126430,2604,6996
5000,3000,2000,20515,1082,2153
70,56,14,255930,41322,160807
50,0,50,13893,677,92671
2000,800,1200,127269,2453,7420
1000,600,400,169476,2097,12526
100,0,100,22401,1223,55434
5000,5000,0,23331,4241,140303
200,0,200,32540,8047,56799
100,100,0,280568,39300,146731
20,20,0,18007,243,169449
200,160,40,292101,33127,175015
70,42,28,154452,13000,148456
20,8,12,16802,195,128542
35,0,35,11204,305,142378
500,500,0,212019,15225,122101
100,40,60,170671,18225,73725
2000,1200,800,84983,1514,5585
20,16,4,11506,134,193872
2000,1600,400,75190,2646,19907
1000,400,600,173815,3282,13367
500,500,0,201692,14424,124867
5000,4000,1000,22396,1692,6023
35,35,0,104731,1302,167780
100,100,0,292224,39572,153068
5000,3000,2000,23237,968,2166
1000,1000,0,154260,11797,136900
500,400,100,214111,10751,47725
14,14,0,35559,332,81046
50,10,40,32936,735,138529
35,21,14,31195,363,173957
50,0,50,14170,317,120104
70,28,42,100951,3837,124456
35,28,7,78631,446,207700
35,7,28,13503,152,143333
1000,200,800,177856,2708,7781
50,30,20,44424,2947,198596
20,20,0,15306,186,149696
20,12,8,7919,203,100680
35,0,35,11248,283,112888
50,40,10,164171,12808,132575
35,7,28,14678,165,158102
14,14,0,23429,136,62430
20,12,8,9032,159,127834
70,14,56,43092,797,147371
70,70,0,300749,39838,163420
20,4,16,9785,138,159554
1000,600,400,153707,2261,12264
35,21,14,30469,620,152273
50,30,20,49520,2261,210270
70,0,70,16203,671,94500
2000,400,1600,139192,2960,5029
35,14,21,20597,271,138677
500,300,200,218821,4528,25786
2000,2000,0,63538,6264,123407
2000,1600,400,73922,2726,20179
1000,1000,0,156215,11337,130434
5000,0,5000,17240,5518,6089
